date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:18:46	14572/14572	---M--	200	added ('OK')	image/jpeg	date:Tue,%2028%20May%202024%2001:01:06%20GMT	https://jacobchilds.info/gallery_gen/07b004cd07e61736626bb1cd9c0de1b3_238x238_fit.jpg	C:/My%20Web%20Sites/jacobchilds.info/jacobchilds.info/gallery_gen/07b004cd07e61736626bb1cd9c0de1b3_238x238_fit.jpg	(from https://jacobchilds.info/css/a188dd9fa6f10001d81e7f3ea4257c29-bundle.css?ts=20240529032007)
20:18:46	0/0	---M--	200	added ('OK')	text/javascript	date:Tue,%2028%20May%202024%2001:01:08%20GMT	https://jacobchilds.info/js/a188dd9fa6f101dd4d51d4c5cde0a8a0-bundle.js?ts=20240529032007	C:/My%20Web%20Sites/jacobchilds.info/jacobchilds.info/js/a188dd9fa6f101dd4d51d4c5cde0a8a0-bundlec85d.js	(from https://jacobchilds.info/About-me/)
20:18:47	29293/29293	---M-Z	200	added ('OK')	text/css	date:Wed,%2029%20May%202024%2000:20:12%20GMT	https://jacobchilds.info/css/a188dd9fa6f101dd4d51d4c5cde0a8a0-bundle.css?ts=20240529032007	C:/My%20Web%20Sites/jacobchilds.info/jacobchilds.info/css/a188dd9fa6f101dd4d51d4c5cde0a8a0-bundlec85d.css	(from https://jacobchilds.info/About-me/)
20:18:47	165412/165412	---M--	200	added ('OK')	image/jpeg	date:Tue,%2028%20May%202024%2002:10:57%20GMT	https://jacobchilds.info/gallery_gen/c240d480f765944e796929f630c98fc3_744x560_fit.JPG?ts=1716942009	C:/My%20Web%20Sites/jacobchilds.info/jacobchilds.info/gallery_gen/c240d480f765944e796929f630c98fc3_744x560_fit0ccc.jpg	(from https://jacobchilds.info/About-me/)
20:18:47	5035/5035	---M--	200	added ('OK')	image/png	date:Tue,%2028%20May%202024%2001:01:03%20GMT	https://jacobchilds.info/gallery/eb6b9f776a4d4ba5802445cd6854d56d.lock.png?ts=1716942009	C:/My%20Web%20Sites/jacobchilds.info/jacobchilds.info/gallery/eb6b9f776a4d4ba5802445cd6854d56d.lock0ccc.png	(from https://jacobchilds.info/About-me/)
20:18:48	0/0	---M--	200	added ('OK')	text/javascript	date:Tue,%2028%20May%202024%2001:01:07%20GMT	https://jacobchilds.info/js/a18fbc99a2ce0057347a380b397ff701-bundle.js?ts=20240529032007	C:/My%20Web%20Sites/jacobchilds.info/jacobchilds.info/js/a18fbc99a2ce0057347a380b397ff701-bundlec85d.js	(from https://jacobchilds.info/Portfolio/)
20:18:48	32499/32499	---M-Z	200	added ('OK')	text/css	date:Wed,%2029%20May%202024%2000:20:12%20GMT	https://jacobchilds.info/css/a18fbc99a2ce0057347a380b397ff701-bundle.css?ts=20240529032007	C:/My%20Web%20Sites/jacobchilds.info/jacobchilds.info/css/a18fbc99a2ce0057347a380b397ff701-bundlec85d.css	(from https://jacobchilds.info/Portfolio/)
20:18:48	0/0	---M--	200	added ('OK')	text/javascript	date:Tue,%2028%20May%202024%2001:01:07%20GMT	https://jacobchilds.info/js/a188dd9fa6f1022f20487adee1450f65-bundle.js?ts=20240529032007	C:/My%20Web%20Sites/jacobchilds.info/jacobchilds.info/js/a188dd9fa6f1022f20487adee1450f65-bundlec85d.js	(from https://jacobchilds.info/Resume/)
20:18:48	1624067/1624067	---M--	200	added ('OK')	image/jpeg	date:Tue,%2028%20May%202024%2001:01:06%20GMT	https://jacobchilds.info/gallery_gen/c52a1052f70300a1d4dbc74f615c9a07_fit.jpg	C:/My%20Web%20Sites/jacobchilds.info/jacobchilds.info/gallery_gen/c52a1052f70300a1d4dbc74f615c9a07_fit.jpg	(from https://jacobchilds.info/css/a188dd9fa6f10001d81e7f3ea4257c29-bundle.css?ts=20240529032007)
20:18:48	23098/23098	---M-Z	200	added ('OK')	text/css	date:Wed,%2029%20May%202024%2000:20:12%20GMT	https://jacobchilds.info/css/a188dd9fa6f1022f20487adee1450f65-bundle.css?ts=20240529032007	C:/My%20Web%20Sites/jacobchilds.info/jacobchilds.info/css/a188dd9fa6f1022f20487adee1450f65-bundlec85d.css	(from https://jacobchilds.info/Resume/)
20:18:49	194173/194173	---M--	200	added ('OK')	application/pdf	date:Tue,%2028%20May%202024%2002:10:55%20GMT	https://jacobchilds.info/gallery/Jacob%20Childs%20Resume%201-30-24.pdf	C:/My%20Web%20Sites/jacobchilds.info/jacobchilds.info/gallery/Jacob%20Childs%20Resume%201-30-24.pdf	(from https://jacobchilds.info/Resume/)
20:18:49	120487/120487	---M--	200	added ('OK')	image/jpeg	date:Tue,%2028%20May%202024%2001:01:06%20GMT	https://jacobchilds.info/gallery_gen/f059bd38898f5580ae210c3e6b1f3f03_fit.jpg	C:/My%20Web%20Sites/jacobchilds.info/jacobchilds.info/gallery_gen/f059bd38898f5580ae210c3e6b1f3f03_fit.jpg	(from https://jacobchilds.info/css/a188dd9fa6f101dd4d51d4c5cde0a8a0-bundle.css?ts=20240529032007)
